Processes, Function, Fitness, Np, Nd, lastStep, bestStep, Evals, Position Time, Fitness Time, Velocity Time, Total Time
1, F2, -148.253, 100, 100, 10000, 6412, 1000000, 0.189075, 0.465558, 15.6186, 16.2875
1, F2, -102.482, 100, 100, 10000, 2800, 1000000, 0.189179, 0.464199, 15.6119, 16.2757
1, F2, -115.417, 100, 100, 10000, 2682, 1000000, 0.189101, 0.464211, 15.586, 16.2501
1, F2, -138.321, 100, 100, 10000, 3384, 1000000, 0.189147, 0.463895, 15.5917, 16.256
1, F2, -123.419, 100, 100, 10000, 3030, 1000000, 0.190185, 0.464009, 15.6601, 16.3253
1, F2, -135.315, 100, 100, 10000, 2588, 1000000, 0.188284, 0.46435, 15.5473, 16.2103
1, F2, -108.368, 100, 100, 10000, 2848, 1000000, 0.188309, 0.4638, 15.5638, 16.2266
1, F2, -139.31, 100, 100, 10000, 2915, 1000000, 0.189486, 0.463457, 15.6233, 16.2929
1, F2, -117.406, 100, 100, 10000, 2782, 1000000, 0.189641, 0.464984, 15.631, 16.2968
1, F2, -134.332, 100, 100, 10000, 5517, 1000000, 0.188618, 0.46449, 15.5565, 16.2207
2, F2, -138.544, 100, 100, 10000, 2826, 1000000, 0.093206, 0.21483, 7.84923, 8.2
2, F2, -144.132, 100, 100, 10000, 2957, 1000000, 0.092322, 0.213237, 7.78821, 8.13376
2, F2, -141.337, 100, 100, 10000, 4619, 1000000, 0.0927948, 0.21352, 7.82363, 8.17371
2, F2, -125.45, 100, 100, 10000, 3054, 1000000, 0.0943552, 0.216764, 7.94716, 8.30029
2, F2, -156.239, 100, 100, 10000, 2970, 1000000, 0.09258, 0.213349, 7.79366, 8.14047
2, F2, -167.186, 100, 100, 10000, 3018, 1000000, 0.0932331, 0.214364, 7.85218, 8.20027
2, F2, -138.942, 100, 100, 10000, 2965, 1000000, 0.0927389, 0.213541, 7.80783, 8.15457
2, F2, -126.689, 100, 100, 10000, 4272, 1000000, 0.0933788, 0.214236, 7.86844, 8.21676
2, F2, -139.325, 100, 100, 10000, 2681, 1000000, 0.092447, 0.213252, 7.79468, 8.1427
2, F2, -138.468, 100, 100, 10000, 3221, 1000000, 0.0922609, 0.21321, 7.77836, 8.12397
3, F2, -210.293, 100, 100, 10000, 6034, 1000000, 0.0680539, 0.156659, 5.87146, 6.13838
3, F2, -158.767, 100, 100, 10000, 3195, 1000000, 0.0666762, 0.153425, 5.74709, 6.00834
3, F2, -222.499, 100, 100, 10000, 3421, 1000000, 0.0671846, 0.154209, 5.79188, 6.05221
3, F2, -187.206, 100, 100, 10000, 4837, 1000000, 0.0668503, 0.15386, 5.77487, 6.03501
3, F2, -160.852, 100, 100, 10000, 5690, 1000000, 0.0668876, 0.153234, 5.76162, 6.02095
3, F2, -172.974, 100, 100, 10000, 4555, 1000000, 0.067146, 0.154115, 5.78455, 6.04951
3, F2, -144.15, 100, 100, 10000, 2674, 1000000, 0.0668315, 0.153465, 5.76495, 6.02451
